OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV10220,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10225,Eukaryota,Arthropoda,Insecta,Coleoptera,Staphylinidae,Philonthus,Philonthus montivagus
ASV10227,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera bacillipedes
ASV10229,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
ASV10230,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Nais,Nais sp. KSCLC013-09
ASV10232,Eukaryota,Porifera,Demospongiae,Poecilosclerida,Crellidae,Crella,Crella incrustans
ASV10234,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. RS40
ASV10237,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius oliveri
ASV10238,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV1024,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages orsinii
ASV10241,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10242,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
ASV10243,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV10244,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10249,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. HIMB1321
ASV1025,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis guyunusae
ASV10250,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV10257,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit
ASV10262,Eukaryota,Unidentified,Unidentified,Choanoflagellida,Salpingoecidae,Monosiga,Monosiga brevicollis
ASV10268,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella cf. hydrophila TRTC155552
ASV10271,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. 19 LG-2014
ASV10273,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10274,Eukaryota,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo sp. BBHEC316-09
ASV10277,Eukaryota,Arthropoda,Ostracoda,Podocopida,Entocytheridae,Ankylocythere,Ankylocythere sinuosa
ASV10278,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV10280,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Parvocalanus,Parvocalanus crassirostris
ASV10281,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10282,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10283,Eukaryota,Unidentified,Oomycetes,Lagenidiales,Lagenidiaceae,Lagenidium,Lagenidium deciduum
ASV10286,Eukaryota,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus coatesi
ASV10287,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ASV1029,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV10290,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Nothophytophthora,Nothophytophthora chlamydospora
ASV10292,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. RS40
ASV10293,Eukaryota,Unidentified,Oomycetes,Leptomitales,Unidentified,Apodachlya,Apodachlya minima
ASV10297,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit
ASV103,Eukaryota,Unidentified,Raphidophyceae,Chattonellales,Chattonellaceae,Chattonella,Chattonella marina
ASV10300,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Hypneaceae,Hypnea,Hypnea spinella
ASV10301,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia pseudodelicatissima
ASV10302,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
ASV10303,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
ASV10309,Eukaryota,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hypoleria,Hypoleria adasa
ASV10317,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia gracilis
ASV10318,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia palea
ASV1032,Eukaryota,Unidentified,Unidentified,Bicosoecida,Unidentified,Caecitellus,Caecitellus parvulus
ASV10320,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit
ASV10322,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis
ASV10323,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10325,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S005
ASV10329,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia vulgaris
ASV10331,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria,Calonectria colhounii
ASV10334,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV10335,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Nais,Nais sp. KSCLC013-09
ASV10342,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia delicatissima
ASV10343,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium
ASV10344,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. P2MK
ASV10349,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula sp. BOLD:AAO6951
ASV10352,Eukaryota,Unidentified,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium arrhenomanes
ASV10359,Eukaryota,Cnidaria,Hydrozoa,Unidentified,Unidentified,Unidentified,Hydrozoa sp. BCnid2010-008
ASV10362,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10363,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10364,Eukaryota,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon primus
ASV10365,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Paratrichocladius,Paratrichocladius bifenestrus
ASV10367,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ASV1037,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,Aidanosagitta neglecta
ASV10371,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV10373,Eukaryota,Bacillariophyta,Mediophyceae,Triceratiales,Triceratiaceae,Trieres,Trieres chinensis
ASV1038,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10390,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Mycetophila,Mycetophila strigatoides
ASV10391,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Peyssonneliaceae,Ramicrusta,Ramicrusta appressa
ASV10392,Eukaryota,Arthropoda,Insecta,Hymenoptera,Braconidae,Asobara,Asobara sp. BOLD-2016
ASV10394,Eukaryota,Cnidaria,Anthozoa,Alcyonacea,Xeniidae,Sympodium,Sympodium caeruleum
ASV10396,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV10400,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
ASV10403,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos
ASV10405,Eukaryota,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo sp. BBHEC316-09
ASV10406,Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus hygrophoroides
ASV10407,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV10408,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV10409,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori
ASV1041,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10410,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV10411,Eukaryota,Arthropoda,Insecta,Coleoptera,Curculionidae,Trigonopterus,Trigonopterus sp. MB-2011
ASV10412,Eukaryota,Unidentified,Unidentified,Unidentified,Apusomonadidae,Thecamonas,Thecamonas trahens
ASV10414,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV10415,Eukaryota,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Kumanoa,Kumanoa deminuta
ASV10418,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV10419,Eukaryota,Unidentified,Phaeophyceae,Ectocarpales,Chordariaceae,Unidentified,Chordariaceae sp. 7 AP-2014
ASV10420,Eukaryota,Unidentified,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium delawarense
ASV10422,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10427,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV10431,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV10433,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Unidentified,alpha proteobacterium HIMB5
ASV10434,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10435,Eukaryota,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo sp. BBHEC316-09
ASV10439,Eukaryota,Arthropoda,Insecta,Diptera,Psychodidae,Psathyromyia,Psathyromyia pascalei
ASV10440,Eukaryota,Unidentified,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii
ASV10443,Eukaryota,Porifera,Demospongiae,Desmacellida,Desmacellidae,Desmacella,Desmacella cf. annexa BELUM<GBR> Mc4240
ASV10445,Eukaryota,Unidentified,Haptophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp. NIES-1333
ASV10447,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica
ASV10451,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora taxon Sisuluriver
ASV10453,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Kappaphycus,Kappaphycus sp. 'Hainan'
ASV10456,Eukaryota,Unidentified,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp. JBM19
ASV1046,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV10460,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV10462,Eukaryota,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes togoi
ASV10465,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV10467,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum
ASV10468,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori
ASV10471,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhinidae,Rhina,Rhina ancylostoma
ASV10472,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia palea
ASV10477,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV1048,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV10480,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
